Id,algebra,programming,data science,robotics,economics,job,salary
0,87,62,86,61,90,junior developer,140000
1,76,84,76,80,79,data scientist,780000
2,56,55,99,82,98,developer,210000
3,99,66,65,84,58,economist,420000
4,73,87,56,84,73,data scientist,760000
5,59,91,52,63,54,robotics engineer,790000
6,73,56,82,60,88,senior developer,510000
7,79,52,95,83,94,economist,450000
8,91,95,99,62,96,developer,380000
9,98,93,66,94,64,developer,350000
10,90,61,69,83,96,data scientist,710000
11,58,99,99,92,79,developer,380000
12,66,77,60,68,90,data scientist,780000
13,70,80,55,84,71,senior developer,560000
14,64,97,98,54,74,developer,310000
15,99,69,79,59,86,economist,420000
16,55,86,92,54,87,economist,430000
17,55,74,71,72,73,data scientist,790000
18,57,61,53,55,74,data scientist,570000
19,95,99,82,59,69,developer,460000
20,52,97,97,61,96,robotics engineer,990000
21,94,59,63,74,97,senior developer,510000
22,50,72,68,88,96,junior developer,120000
23,66,70,67,89,76,data scientist,620000
24,86,52,82,83,56,robotics engineer,830000
25,72,98,91,99,91,junior developer,170000
26,69,96,94,69,92,economist,420000
27,85,65,54,76,76,developer,320000
28,99,61,63,89,55,senior developer,540000
29,67,86,73,80,87,senior developer,500000
30,60,63,54,71,82,data scientist,700000
31,90,75,62,69,95,senior developer,520000
32,53,81,65,88,51,developer,290000
33,84,52,54,80,73,economist,410000
34,89,54,55,56,69,data scientist,700000
35,68,89,73,69,94,senior developer,610000
36,52,93,81,96,83,developer,340000
37,68,55,66,51,74,junior developer,120000
38,79,91,54,97,56,senior developer,550000
39,94,58,72,52,71,senior developer,510000
40,64,82,51,91,62,data scientist,830000
41,94,95,52,74,83,data scientist,950000
42,99,92,89,64,72,senior developer,600000
43,83,85,93,87,58,junior developer,190000
44,93,86,62,62,94,robotics engineer,970000
45,93,65,68,93,77,developer,270000
46,81,89,61,62,54,developer,400000
47,88,72,98,93,57,developer,310000
48,83,59,92,93,56,senior developer,570000
49,63,51,75,62,79,developer,240000
50,70,67,88,50,68,junior developer,130000
51,51,89,90,76,73,economist,410000
52,97,70,98,73,90,data scientist,790000
53,63,62,51,58,67,developer,270000
54,65,78,64,54,61,robotics engineer,750000
55,85,51,85,88,87,economist,430000
56,74,54,68,52,54,economist,360000
57,61,58,72,98,52,senior developer,450000
58,61,90,83,61,56,robotics engineer,960000
59,76,73,58,97,64,data scientist,730000
60,70,61,53,85,84,data scientist,690000
61,54,99,75,67,90,developer,370000
62,98,55,51,64,80,junior developer,160000
63,89,95,84,53,67,developer,440000
64,93,94,62,99,98,economist,460000
65,71,64,95,90,54,developer,270000
66,98,87,61,84,80,senior developer,650000
67,77,68,67,59,97,data scientist,780000
68,57,99,99,50,64,data scientist,930000
69,84,50,98,56,94,data scientist,690000
70,75,97,59,75,60,robotics engineer,960000
71,68,76,99,59,89,developer,310000
72,82,81,74,97,71,junior developer,150000
73,96,82,76,92,89,robotics engineer,1040000
74,62,78,71,96,97,data scientist,830000
75,91,88,67,53,63,robotics engineer,940000
76,80,61,65,92,57,robotics engineer,840000
77,57,55,98,62,88,data scientist,580000
78,66,68,68,95,69,data scientist,780000
79,98,66,62,61,64,developer,320000
80,66,82,75,98,96,senior developer,530000
81,94,58,82,70,77,senior developer,510000
82,98,95,67,95,83,senior developer,610000
83,81,50,73,62,94,junior developer,130000
84,79,76,87,64,70,economist,360000
85,92,77,83,96,59,robotics engineer,1100000
86,70,73,58,70,58,data scientist,690000
87,96,85,61,73,79,senior developer,540000
88,97,98,82,80,66,senior developer,670000
89,83,98,74,77,88,robotics engineer,1180000
90,91,89,79,65,84,economist,440000
91,87,80,79,66,89,junior developer,190000
92,95,68,59,83,87,developer,310000
93,50,91,93,88,65,economist,340000
94,85,53,74,61,70,economist,350000
95,53,57,52,53,82,developer,210000
